sample,CAN_ID,RX_ID,LEN,Motor_ID_byte,p_out_rad,v_out_rad_s,t_out_Nm,p_cmd_rad,v_cmd_rad_s,kp,kd,raw_bytes
320,2,2,8,2,0.6624,1.6484,1.9841,0.6827,0.2500,80.00,3.00,02 86 C8 84 38 3E
321,2,2,8,2,0.6861,1.6728,2.3968,0.7085,0.2500,80.00,3.00,02 87 06 84 48 4B
322,2,2,8,2,0.7094,1.6484,2.7778,0.7342,0.2500,80.00,3.00,02 87 43 84 38 57
323,2,2,8,2,0.7319,2.2589,3.1587,0.7597,0.2500,80.00,3.00,02 87 7E 85 C8 63
324,2,2,8,2,0.7563,1.8681,3.4127,0.7855,0.2500,80.00,3.00,02 87 BE 84 C8 6B
325,2,2,8,2,0.7807,1.9902,3.4762,0.8112,0.2500,80.00,3.00,02 87 FE 85 18 6D
326,2,2,8,2,0.8062,1.7705,3.3492,0.8367,0.2500,80.00,3.00,02 88 41 84 88 69
327,2,2,8,2,0.8307,1.8193,3.6667,0.8625,0.2500,80.00,3.00,02 88 81 84 A8 73
328,2,2,8,2,0.8562,2.2100,3.0635,0.8867,0.2500,80.00,3.00,02 88 C4 85 A8 60
329,2,2,8,2,0.8883,2.7228,1.5397,0.9125,0.2500,80.00,3.00,02 89 18 86 F8 30
330,2,2,8,2,0.9218,2.2589,1.0000,0.9382,0.2500,80.00,3.00,02 89 70 85 C8 1F
331,2,2,8,2,0.9493,2.4542,0.7143,0.9637,0.2500,80.00,3.00,02 89 B8 86 48 16
332,2,2,8,2,0.9775,2.4786,0.1746,0.9895,0.2500,80.00,3.00,02 8A 02 86 58 05
333,2,2,8,2,1.0035,2.0391,0.2063,1.0152,0.2500,80.00,3.00,02 8A 46 85 38 06
334,2,2,8,2,1.0290,2.2100,0.5238,1.0407,0.2500,80.00,3.00,02 8A 89 85 A8 10
335,2,2,8,2,1.0546,2.0147,0.4603,1.0665,0.2500,80.00,3.00,02 8A CC 85 28 0E
336,2,2,8,2,1.0801,1.9414,0.5556,1.0922,0.2500,80.00,3.00,02 8B 0F 84 F8 11
337,2,2,8,2,1.1057,1.5751,0.7143,1.1177,0.2500,80.00,3.00,02 8B 52 84 08 16
338,2,2,8,2,1.1313,2.2589,0.5556,1.1435,0.2500,80.00,3.00,02 8B 95 85 C8 11
339,2,2,8,2,1.1572,1.6484,0.7143,1.1690,0.2500,80.00,3.00,02 8B D9 84 38 16
340,2,2,8,2,1.1824,2.1368,0.5873,1.1947,0.2500,80.00,3.00,02 8C 1B 85 78 12
341,2,2,8,2,1.2079,1.6239,0.9365,1.2205,0.2500,80.00,3.00,02 8C 5E 84 28 1D
342,2,2,8,2,1.2335,2.4786,0.4603,1.2460,0.2500,80.00,3.00,02 8C A1 86 58 0E
343,2,2,8,2,1.2594,1.7705,0.3016,1.2717,0.2500,80.00,3.00,02 8C E5 84 88 09
344,2,2,8,2,1.2858,2.7228,-0.0159,1.2975,0.2500,80.00,3.00,02 8D 2A 86 F7 FF
345,2,2,8,2,1.3113,3.1380,0.0794,1.3229,0.2500,80.00,3.00,02 8D 6D 88 08 02
346,2,2,8,2,1.3373,2.5763,0.1746,1.3487,0.2500,80.00,3.00,02 8D B1 86 98 05
347,2,2,8,2,1.3624,2.4542,0.1746,1.3742,0.2500,80.00,3.00,02 8D F3 86 48 05
348,2,2,8,2,1.3884,1.8193,0.7143,1.3999,0.2500,80.00,3.00,02 8E 37 84 A8 16
349,2,2,8,2,1.4143,2.2344,0.3651,1.4257,0.2500,80.00,3.00,02 8E 7B 85 B8 0B
350,2,2,8,2,1.4395,1.6484,0.5238,1.4512,0.2500,80.00,3.00,02 8E BD 84 38 10
351,2,2,8,2,1.4651,2.4542,0.3333,1.4769,0.2500,80.00,3.00,02 8F 00 86 48 0A
352,2,2,8,2,1.4910,1.9414,0.6190,1.5027,0.2500,80.00,3.00,02 8F 44 84 F8 13
353,2,2,8,2,1.5158,2.1368,0.5238,1.5282,0.2500,80.00,3.00,02 8F 85 85 78 10
354,2,2,8,2,1.5486,3.7241,-0.3968,1.5635,-0.2500,80.00,3.00,02 8F DB 89 87 F3
355,2,2,8,2,1.5463,-1.7216,-0.3333,1.5380,-0.2500,80.00,3.00,02 8F D5 7B 97 F5
356,2,2,8,2,1.5227,-2.8449,-0.1429,1.5123,-0.2500,80.00,3.00,02 8F 97 78 B7 FB
